yr_site,site_abv,% corn,daily mortality_plt,daily_mort_may,Date,month#,Hive_No,Seams_bees,bees_cm2,capped_cm2,open_cm2,pollen_cm2,nectar_cm2,empty_cm2,fondation_cm2,total_comb,capped_%comb,open_%comb,pollen_%comb,nectar_%comb,empty_%comb,drone_cm2,Varroa(Incomplete)
2015MO,MO,39%,0.890885121,0.116809071,819,8,40,11,7940.2,383.32,2464.2,1642.8,17085.12,17085.12,766.64,38660.56,0.99%,6.37%,4.25%,44.19%,44.19%,0,0
2015SC,SC,8%,0.557895802,0.085869496,818,8,45,15,12868.6,5202.2,2518.96,4326.04,22999.2,13503.816,11576.264,48550.216,10.72%,5.19%,8.91%,47.37%,27.81%,0,2
2015SC,SC,8%,0.557895802,0.085869496,818,8,48,30,24970.56,5311.72,1971.36,6406.92,25846.72,23382.52,164.28,62919.24,8.44%,3.13%,10.18%,41.08%,37.16%,164.28,1
2015SC,SC,8%,0.557895802,0.085869496,818,8,49,9,8706.84,2573.72,1314.24,2245.16,492.84,13394.296,11521.504,20020.256,12.86%,6.56%,11.21%,2.46%,66.90%,0,0
2015HR,HR,30%,0.959180946,0.005853495,814,8,51,16,14456.64,3778.44,1861.84,492.84,3997.48,22123.04,9802.04,32253.64,11.71%,5.77%,1.53%,12.39%,68.59%,0,5
2015HR,HR,30%,0.959180946,0.005853495,814,8,53,20,22561.12,5640.28,3942.72,657.12,8597.32,20261.2,17085.12,39098.64,14.43%,10.08%,1.68%,21.99%,51.82%,0,0
2015HR,HR,30%,0.959180946,0.005853495,814,8,54,19,24422.96,4545.08,3504.64,4216.52,273.8,23601.56,657.12,36141.6,12.58%,9.70%,11.67%,0.76%,65.30%,0,0
2015BG,BG,22%,1.051359775,0.119948108,818,8,59,36,24751.52,5859.32,5804.56,9144.92,26777.64,10952,12978.12,58538.44,10.01%,9.92%,15.62%,45.74%,18.71%,0,0
2015BG,BG,22%,1.051359775,0.119948108,818,8,60,13,7830.68,1533.28,383.32,3559.4,3997.48,34969.736,2869.424,44443.216,3.45%,0.86%,8.01%,8.99%,78.68%,109.52,0
2015TV,TV,31%,0.951703623,0.112411043,814,8,62,16,12375.76,766.64,3230.84,3887.96,26558.6,22539.216,8728.744,56983.256,1.35%,5.67%,6.82%,46.61%,39.55%,0,1
2015TV,TV,31%,0.951703623,0.112411043,814,8,64,28,27215.72,7447.36,2683.24,6352.16,14730.44,16625.136,20502.144,47838.336,15.57%,5.61%,13.28%,30.79%,34.75%,164.28,5
2015IB,IB,22%,0.567821225,0.055341812,817,8,66,23,16318.48,3559.4,2245.16,3395.12,24696.76,30183.712,8203.048,64080.152,5.55%,3.50%,5.30%,38.54%,47.10%,109.52,5
2015IB,IB,22%,0.567821225,0.055341812,818,8,67,34,26230.04,5092.68,5804.56,7666.4,22725.4,18607.448,4775.072,59896.488,8.50%,9.69%,12.80%,37.94%,31.07%,547.6,0
